cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
61,6.741774,35.033432,1.44162500000E+02,4.84669400000E+01,144.1641214,48.4684734,0.2967,0.3046,-0.0678,14.937,0.095,11.5,1.4970E+00,15.080,0.490,2.2,6.5580E-01,1,0,0000,AC,10,57327.09172902,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.743788,38.427543,1.44162500000E+02,4.84669400000E+01,144.1642560,48.4684075,0.2282,0.2515,0.0361,14.712,0.079,13.8,1.0440E+00,14.688,null,0.7,1.1880E+00,1,0,0000,AU,5,58587.34643633,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.747474,34.275239,1.44162500000E+02,4.84669400000E+01,144.1640920,48.4684888,0.2657,0.2914,0.0750,14.852,0.089,12.2,1.5660E+00,14.736,null,2.0,5.7340E-01,1,0,0000,AU,10,57132.87640830,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.758743,31.823345,1.44162500000E+02,4.84669400000E+01,144.1639931,48.4685352,0.3130,0.3134,-0.1131,14.936,0.103,10.5,7.9250E-01,14.862,0.363,3.0,6.2480E-01,1,0,0000,AC,10,58215.41987235,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.758938,44.408422,1.44162500000E+02,4.84669400000E+01,144.1644815,48.4682812,0.3657,0.3605,0.1414,15.003,0.125,8.7,1.1220E+00,14.926,0.323,3.4,7.2250E-01,1,0,0000,BB,10,58425.16890549,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.773246,32.776381,1.44162500000E+02,4.84669400000E+01,144.1640362,48.4685219,0.2547,0.2887,-0.0767,14.861,0.086,12.7,1.5380E+00,14.949,0.344,3.2,7.2610E-01,1,0,0000,AB,10,57491.68679028,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.776070,33.037447,1.44162500000E+02,4.84669400000E+01,144.1640477,48.4685179,0.2847,0.3359,0.0377,14.928,0.097,11.2,1.5910E+00,15.027,0.380,2.9,4.7300E-01,1,0,0000,AC,10,57494.57011660,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.776943,38.803768,1.44162500000E+02,4.84669400000E+01,144.1642792,48.4684070,0.2737,0.2986,-0.0806,15.047,0.098,11.1,1.3190E+00,14.993,0.287,3.8,4.3780E-01,1,0,0000,AB,5,57491.88340100,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.787398,35.989608,1.44162500000E+02,4.84669400000E+01,144.1641710,48.4684655,0.2749,0.3039,0.0912,14.866,0.107,10.1,1.4660E+00,14.433,0.284,3.8,7.0380E-01,1,0,0000,AB,10,57854.84796987,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.800728,37.703982,1.44162500000E+02,4.84669400000E+01,144.1642425,48.4684346,0.2420,0.2783,-0.0895,14.898,0.090,12.1,9.5200E-01,14.197,0.199,5.5,4.1620E-01,1,0,0000,AB,10,57133.27027069,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.804266,38.508452,1.44162500000E+02,4.84669400000E+01,144.1642749,48.4684190,0.3130,0.3853,-0.0549,15.062,0.108,10.1,3.4510E-01,14.893,0.303,3.6,8.0670E-01,1,0,0000,AB,10,56965.24261149,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
